150	20989.7	2634
151	9510.73	102479
152	9520.42	102822
153	9524.55	102698
154	9533.65	102723
155	9544.17	102908
156	9556.28	103140
157	9567.07	103192
158	9575.39	103692
159	9589.33	103962
160	9599.85	104086
161	9610.14	104003
162	9603.88	103737
163	9607.91	103499
164	9615.84	104073
165	9629.06	104550
166	9611.31	103797
167	9605.51	103319
168	9614.52	103482
169	9619.03	103903
170	9609.88	103935
171	9608.25	104225
172	9601.8	103984
173	9609.03	104255
174	9595.34	104077
175	9558.03	102605
176	9560.8	102666
177	9569.38	103445
178	9577.39	103929
179	9584.61	104773
180	9573.67	105011
